,GVKEY
1832,182023
1833,182308
1834,182309
1835,182350
1836,182383
1837,182826
1838,183101
1839,183116
1840,183257
1841,183283
1842,183322
1843,183337
1844,183346
1845,183444
1846,183588
1847,183593
1848,183602
1849,183636
1850,183669
1851,183684
1852,183739
1853,183809
1854,183850
1855,183851
1856,183879
1857,183896
1858,183904
1859,183945
1860,184046
1861,184058
1862,184077
1863,184078
1864,184079
1865,184109
1866,184114
1867,184240
1868,184256
1869,184465
1870,184487
1871,184542
1872,184543
1873,184660
1874,184703
1875,184796
1876,184884
1877,184886
1878,184888
1879,184904
1880,184961
1881,185058
1882,185067
1883,185125
1884,185154
1885,185193
1886,185261
1887,185289
1888,185307
1889,185337
1890,185346
1891,185355
1892,185397
1893,185415
1894,185419
1895,185428
1896,185434
1897,185584
1898,185658
1899,185659
1900,185826
1901,185836
1902,185908
1903,185917
1904,185945
1905,185946
1906,186030
1907,186045
1908,186159
1909,186525
1910,186562
1911,186607
1912,186661
1913,186832
1914,186953
1915,186974
1916,187285
1917,187368
1918,187410
1919,187631
1920,187653
1921,187686
1922,187739
1923,189363
1924,190355
1925,190580
1926,190856
1927,194255
1928,196269
1929,196856
1930,201088
1931,205950
1932,206184
1933,211897
1934,212340
1935,212639
1936,212782
1937,221963
1938,223098
1939,232623
1940,238455
1941,241335
1942,241801
1943,241956
1944,246010
1945,249507
1946,253527
1947,254096
1948,254399
1949,259073
1950,260778
1951,260838
1952,260892
1953,260919
1954,264265
1955,264270
1956,264385
1957,264387
1958,264398
1959,264414
1960,264506
1961,264668
1962,265008
1963,266316
1964,266319
1965,271794
1966,271987
1967,277812
1968,285536
1969,286017
1970,286253
1971,286396
1972,287111
1973,293754
1974,296885
