,0
1277,6704
1278,6707
1279,6710
1280,6716
1281,6717
1282,6722
1283,6730
1284,6733
1285,6736
1286,6737
1287,6740
1288,6741
1289,6742
1290,6748
1291,6756
1292,6765
1293,6768
1294,6771
1295,6773
1296,6774
1297,6781
1298,6788
1299,6791
1300,6797
1301,6799
1302,6802
1303,6803
1304,6809
1305,6821
1306,6823
1307,6829
1308,6830
1309,6831
1310,6836
1311,6839
1312,6841
1313,6845
1314,6848
1315,6862
1316,6865
1317,6867
1318,6873
1319,6886
1320,6892
1321,6900
1322,6908
1323,6922
1324,6924
1325,6930
1326,6932
1327,6936
1328,6946
1329,6948
1330,6963
1331,6964
1332,6972
1333,6974
1334,6981
1335,6994
1336,6995
1337,7017
1338,7022
1339,7034
1340,7043
1341,7063
1342,7065
1343,7066
1344,7067
1345,7085
1346,7086
1347,7092
1348,7095
1349,7106
1350,7107
1351,7114
1352,7116
1353,7117
1354,7121
1355,7123
1356,7124
1357,7125
1358,7127
1359,7132
1360,7133
1361,7134
1362,7137
1363,7138
1364,7139
1365,7143
1366,7146
1367,7152
1368,7154
1369,7161
1370,7163
1371,7171
1372,7179
1373,7180
1374,7183
1375,7185
1376,7186
1377,7192
1378,7203
1379,7205
1380,7208
1381,7215
1382,7228
1383,7232
1384,7234
1385,7238
1386,7241
1387,7243
1388,7245
1389,7250
1390,7251
1391,7253
1392,7257
1393,7260
1394,7267
1395,7268
1396,7275
1397,7277
1398,7278
1399,7279
1400,7281
1401,7283
1402,7291
1403,7295
1404,7300
1405,7302
1406,7309
1407,7310
1408,7315
1409,7316
1410,7319
1411,7324
1412,7329
1413,7331
1414,7336
1415,7343
1416,7344
1417,7346
1418,7350
1419,7357
1420,7360
1421,7365
1422,7366
1423,7368
1424,7369
1425,7370
1426,7389
1427,7390
1428,7401
1429,7402
1430,7406
1431,7409
1432,7416
1433,7420
1434,7422
1435,7430
1436,7435
1437,7437
1438,7445
1439,7447
1440,7448
1441,7449
1442,7450
1443,7466
1444,7469
1445,7471
1446,7481
1447,7486
1448,7498
1449,7504
1450,7506
1451,7507
1452,7509
1453,7510
1454,7512
1455,7515
1456,7525
1457,7526
1458,7533
1459,7536
1460,7537
1461,7543
1462,7549
1463,7554
1464,7556
1465,7561
1466,7564
1467,7566
1468,7575
1469,7576
1470,7582
1471,7585
1472,7589
1473,7590
1474,7601
1475,7602
1476,7606
1477,7620
1478,7632
1479,7636
1480,7637
1481,7642
1482,7646
1483,7647
1484,7648
1485,7652
1486,7658
1487,7660
1488,7662
1489,7664
1490,7665
1491,7668
1492,7672
1493,7682
1494,7683
1495,7685
1496,7691
1497,7692
1498,7694
1499,7696
1500,7700
1501,7705
1502,7708
1503,7711
1504,7723
1505,7733
1506,7741
1507,7745
1508,7750
1509,7759
1510,7761
1511,7762
1512,7763
1513,7767
1514,7769
1515,7770
1516,7772
1517,7773
1518,7781
1519,7798
1520,7799
1521,7809
1522,7817
1523,7824
1524,7826
1525,7828
1526,7835
1527,7839
1528,7840
1529,7841
1530,7846
1531,7849
1532,7850
1533,7851
1534,7852
1535,7853
1536,7860
1537,7862
1538,7863
1539,7864
1540,7866
1541,7873
1542,7875
1543,7878
1544,7881
1545,7882
1546,7883
1547,7892
1548,7904
1549,7906
1550,7908
1551,7911
1552,7912
1553,7914
1554,7917
1555,7919
1556,7920
1557,7921
1558,7922
1559,7923
1560,7932
1561,7935
1562,7936
1563,7938
1564,7951
1565,7959
1566,7964
1567,7965
1568,7967
1569,7970
1570,7973
1571,7974
1572,7977
1573,7978
1574,7980
1575,7982
1576,7984
1577,7985
1578,7991
1579,7993
1580,7994
1581,7995
1582,8001
1583,8003
1584,8007
1585,8008
1586,8009
1587,8014
1588,8017
1589,8020
1590,8030
1591,8031
1592,8036
1593,8045
1594,8047
1595,8049
1596,8054
1597,8060
1598,8065
1599,8067
1600,8068
1601,8071
1602,8073
1603,8079
1604,8080
1605,8084
1606,8087
1607,8092
1608,8093
1609,8095
1610,8096
1611,8099
1612,8101
1613,8102
1614,8105
1615,8109
1616,8113
1617,8123
1618,8133
1619,8148
1620,8150
1621,8151
1622,8162
1623,8169
1624,8171
1625,8173
1626,8176
1627,8184
1628,8193
1629,8194
1630,8195
1631,8199
1632,8210
1633,8213
1634,8214
1635,8215
1636,8219
1637,8229
1638,8233
1639,8234
1640,8240
1641,8245
1642,8247
1643,8250
1644,8253
1645,8257
1646,8264
1647,8265
1648,8266
1649,8272
1650,8288
1651,8290
1652,8293
1653,8303
1654,8304
1655,8307
1656,8310
1657,8317
1658,8326
1659,8330
1660,8333
1661,8334
1662,8335
1663,8336
1664,8341
1665,8348
1666,8350
1667,8356
1668,8357
1669,8358
1670,8363
1671,8365
1672,8381
1673,8386
1674,8387
1675,8388
1676,8401
1677,8402
1678,8404
1679,8414
1680,8423
1681,8431
1682,8434
1683,8439
1684,8440
1685,8445
1686,8446
1687,8450
1688,8455
1689,8456
1690,8457
1691,8463
1692,8465
1693,8470
1694,8471
1695,8475
1696,8479
1697,8480
1698,8484
1699,8486
1700,8488
1701,8490
1702,8493
1703,8497
1704,8498
1705,8504
1706,8508
1707,8512
1708,8515
1709,8521
1710,8524
1711,8526
1712,8530
1713,8534
1714,8536
1715,8537
1716,8539
1717,8542
1718,8543
1719,8544
1720,8546
1721,8549
1722,8551
1723,8559
1724,8562
1725,8571
1726,8577
1727,8579
1728,8582
1729,8594
1730,8599
1731,8605
1732,8606
1733,8607
1734,8611
1735,8613
1736,8626
1737,8627
1738,8633
1739,8638
1740,8644
1741,8648
1742,8655
1743,8657
1744,8661
1745,8666
1746,8669
1747,8675
1748,8681
1749,8687
1750,8692
1751,8693
1752,8694
1753,8699
1754,8702
1755,8703
1756,8707
1757,8716
1758,8717
1759,8734
1760,8745
1761,8750
1762,8754
1763,8755
1764,8759
1765,8760
1766,8762
1767,8768
1768,8785
1769,8787
1770,8789
1771,8802
1772,8803
1773,8806
1774,8807
1775,8808
1776,8809
1777,8810
1778,8811
1779,8812
1780,8815
1781,8816
1782,8818
1783,8823
1784,8824
1785,8826
1786,8832
1787,8838
1788,8850
1789,8852
1790,8858
1791,8859
1792,8864
1793,8867
1794,8870
1795,8872
1796,8873
1797,8881
1798,8892
1799,8898
1800,8901
1801,8902
1802,8912
1803,8925
1804,8934
1805,8947
1806,8958
1807,8959
1808,8964
1809,8972
1810,8975
1811,8987
1812,8990
1813,9004
1814,9013
1815,9016
1816,9017
1817,9020
1818,9023
1819,9034
1820,9043
1821,9048
1822,9051
1823,9052
1824,9058
1825,9063
1826,9071
1827,9078
1828,9083
1829,9097
1830,9098
1831,9102
1832,9112
1833,9125
1834,9132
1835,9135
1836,9142
1837,9145
1838,9154
1839,9155
1840,9161
1841,9170
1842,9171
1843,9173
1844,9177
1845,9186
1846,9191
1847,9194
1848,9203
1849,9208
1850,9213
1851,9215
1852,9216
1853,9217
1854,9225
1855,9230
1856,9240
1857,9242
1858,9245
1859,9248
1860,9255
1861,9256
1862,9257
1863,9258
1864,9259
1865,9267
1866,9273
1867,9279
1868,9281
1869,9284
1870,9289
1871,9293
1872,9298
1873,9299
1874,9302
1875,9303
1876,9305
1877,9311
1878,9313
1879,9317
1880,9319
1881,9323
1882,9324
1883,9325
1884,9330
1885,9332
1886,9338
1887,9340
1888,9343
1889,9346
1890,9349
1891,9351
1892,9355
1893,9358
1894,9359
1895,9367
1896,9372
1897,9373
1898,9375
1899,9380
1900,9382
1901,9393
1902,9397
1903,9398
1904,9402
1905,9403
1906,9411
1907,9413
1908,9432
1909,9441
1910,9443
1911,9445
1912,9450
1913,9455
1914,9459
1915,9465
1916,9466
1917,9472
1918,9473
1919,9480
1920,9481
1921,9483
1922,9489
1923,9490
1924,9499
1925,9501
1926,9504
1927,9505
1928,9521
1929,9532
1930,9537
1931,9538
1932,9545
1933,9548
1934,9549
1935,9551
1936,9552
1937,9555
1938,9563
1939,9564
1940,9570
1941,9573
1942,9589
1943,9590
1944,9599
1945,9602
1946,9603
1947,9607
1948,9611
1949,9612
1950,9613
1951,9614
1952,9619
1953,9621
1954,9647
1955,9650
1956,9652
1957,9653
1958,9655
1959,9664
1960,9667
1961,9673
1962,9679
1963,9686
1964,9689
1965,9691
1966,9693
1967,9698
1968,9699
1969,9715
1970,9718
1971,9719
1972,9724
1973,9728
1974,9737
1975,9748
1976,9761
1977,9765
1978,9771
1979,9772
1980,9774
1981,9777
1982,9778
1983,9783
1984,9786
1985,9799
1986,9812
1987,9815
1988,9818
1989,9828
1990,9831
1991,9835
1992,9841
1993,9846
1994,9848
1995,9849
1996,9850
1997,9859
1998,9860
1999,9864
2000,9867
2001,9872
2002,9880
2003,9882
2004,9890
2005,9898
2006,9899
2007,9902
2008,9904
2009,9906
2010,9916
2011,9919
2012,9921
2013,9922
2014,9937
2015,9939
2016,9940
2017,9942
2018,9952
2019,9954
2020,9957
2021,9960
2022,9963
2023,9969
2024,9988
2025,9993
2026,9999
2027,10000
2028,10002
2029,10005
2030,10008
2031,10013
2032,10016
2033,10019
2034,10030
2035,10033
2036,10035
2037,10044
2038,10053
2039,10056
2040,10063
2041,10073
2042,10078
2043,10085
2044,10086
2045,10091
2046,10096
2047,10097
2048,10109
2049,10115
2050,10121
2051,10124
2052,10137
2053,10150
2054,10156
2055,10159
2056,10174
2057,10185
2058,10187
2059,10190
2060,10195
2061,10198
2062,10200
2063,10211
2064,10213
2065,10215
2066,10221
2067,10222
2068,10232
2069,10235
2070,10236
2071,10237
2072,10238
2073,10244
2074,10247
2075,10252
2076,10254
2077,10266
2078,10275
2079,10277
2080,10278
2081,10286
2082,10292
2083,10293
2084,10296
2085,10297
2086,10301
2087,10305
2088,10306
2089,10310
2090,10312
2091,10321
2092,10327
2093,10331
2094,10332
2095,10341
2096,10342
2097,10343
2098,10345
2099,10349
2100,10353
2101,10361
2102,10364
2103,10374
2104,10379
2105,10380
2106,10382
2107,10385
2108,10386
2109,10390
2110,10391
2111,10392
2112,10394
2113,10405
2114,10407
2115,10411
2116,10417
2117,10420
2118,10423
2119,10426
2120,10431
2121,10434
2122,10438
2123,10439
2124,10441
2125,10443
2126,10447
2127,10451
2128,10452
2129,10453
2130,10458
2131,10466
2132,10469
2133,10470
2134,10474
